type,id,name,lat,lon,cuisine,brand
node,6533178803,Tsu Chi,43.6553721,-79.4176246,japanese,
node,6538318456,Real Fruit Bubble Tea,43.7169694,-79.4474628,bubble_tea,Real Fruit Bubble Tea
node,6538382155,Soobrian Cafe & Variety,43.7566341,-79.5193176,,
node,6538479485,Conteago,43.7227647,-79.4979792,,
node,6542648930,Tim Hortons,43.7961136,-79.4232926,coffee_shop,Tim Hortons
node,6542992475,Tim Hortons,43.7607337,-79.3264148,coffee_shop,Tim Hortons
node,6543870357,Caffe Baci,43.7260504,-79.4802569,,
node,6545238873,Real Fruit Bubble Tea,43.7964656,-79.4225433,bubble_tea,Real Fruit Bubble Tea
node,6545307496,Timothy's,43.795874,-79.4223785,coffee_shop,Timothy's
node,6545307525,Cafe on the Go,43.7961122,-79.4212967,,
node,6545342849,Chaplus,43.7957146,-79.421442,,
node,6545342866,Dolce Camerata,43.795417,-79.422059,italian,
node,6545539560,Caffe e Latte,43.7302142,-79.4695375,,
node,6545575955,Forget Me Not Cafe,43.7303991,-79.4665471,,
node,6545586925,Cocoon Coffee,43.730802,-79.465136,,
node,6545677406,Primo Expresso Bar,43.7321293,-79.4610443,,
node,6545684809,Naimas Asian Fusion Cafe,43.7307752,-79.4587718,asian,
node,6546233079,Tim Hortons,43.7322527,-79.4190791,coffee_shop,Tim Hortons
node,6546274450,Tim Hortons,43.8253896,-79.2977645,coffee_shop,Tim Hortons
node,6546274455,Tim Hortons,43.7832537,-79.204297,coffee_shop,Tim Hortons
node,6546274457,Tim Hortons,43.8019668,-79.198171,coffee_shop,Tim Hortons
node,6546274461,CoCo Fresh Tea & Juice,43.6587603,-79.3821233,bubble_tea,CoCo
node,6546274463,Tim Hortons,43.7260948,-79.291865,coffee_shop,Tim Hortons
node,6546274466,Country Style,43.7470159,-79.3846421,coffee_shop,Country Style
node,6548219488,Tim Hortons,43.6471197,-79.3772145,coffee_shop,Tim Hortons
node,6548219491,Tim Hortons,43.65078,-79.3678227,coffee_shop,Tim Hortons
node,6548220174,Tim Hortons,43.7229198,-79.4560413,coffee_shop,Tim Hortons
node,6548224598,Aroma Espresso Bar,43.6482284,-79.3762831,coffee_shop,Aroma Espresso Bar
node,6548307628,Cafe + Dufferin Variety,43.7186445,-79.4560771,,
node,6548584933,Caffe Sportivo,43.7089743,-79.4531669,,
node,6549482216,Tony's Espresso Bar,43.707438,-79.4529339,,
node,6549739302,Bookafe,43.6961263,-79.4489697,,
node,6550543824,Hunter Coffee Shop,43.688948,-79.4324496,,
node,6550554148,Queen Bean Coffee Roasters,43.6804342,-79.4173866,coffee_shop,
node,6550554157,Tim Hortons,43.6734767,-79.4148737,coffee_shop,Tim Hortons
node,6551628749,Mallo,43.6645776,-79.4108225,coffee_shop,
node,6551651370,Club 285,43.7073763,-79.4429514,,
